Profile Summary
Generated on: 2022-10-21 09:42:15
Msec since Epoch: 1666316535699
Profiled application: host
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.466
Build version branch: 2022.1
Build version hash: f5505e402c2ca1ffe45eb6d3a9399b23a0dc8776
Build version date: N/A
Target devices: xilinx_u50_gen3x16_xdma_base_5-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,3,0.005348,0.000541,0.00178267,0.004069,
clCreateCommandQueue,1,0.003457,0.003457,0.003457,0.003457,
clCreateContext,1,3.56666,3.56666,3.56666,3.56666,
clCreateKernel,1,0.257647,0.257647,0.257647,0.257647,
clCreateProgramWithBinary,1,6424.29,6424.29,6424.29,6424.29,
clCreateSubBuffer,4,0.002832,0.000534,0.000708,0.001122,
clEnqueueMigrateMemObjects,6,0.129335,0.001376,0.0215558,0.101466,
clEnqueueTask,3,0.081828,0.00892,0.027276,0.05385,
clGetDeviceIDs,2,0.001615,0.000539,0.0008075,0.001076,
clGetEventProfilingInfo,2,0.005992,0.001148,0.002996,0.004844,
clGetPlatformIDs,2,0.013645,0.000605,0.0068225,0.01304,
clGetPlatformInfo,2,0.001234,0.000481,0.000617,0.000753,
clReleaseCommandQueue,1,0.002387,0.002387,0.002387,0.002387,
clReleaseContext,1,0.026381,0.026381,0.026381,0.026381,
clReleaseDevice,2,0.001862,0.000623,0.000931,0.001239,
clReleaseEvent,16,0.020032,0.000263,0.001252,0.009725,
clReleaseKernel,1,7.49383,7.49383,7.49383,7.49383,
clReleaseMemObject,23,0.01238,0.000287,0.000538261,0.001796,
clReleaseProgram,1,0.822891,0.822891,0.822891,0.822891,
clRetainDevice,2,0.000785,0.000373,0.0003925,0.000412,
clRetainEvent,8,0.003795,0.000274,0.000474375,0.000922,
clRetainMemObject,16,0.009412,0.000298,0.00058825,0.002485,
clSetKernelArg,11,48.9637,0.000334,4.45124,37.4145,
clWaitForEvents,2,181.808,54.0681,90.9042,127.74,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
runOnfpga,3,105.926,0.190161,35.3086,52.8685,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94340460469936,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_base_5-0,6940.65,52.8685,1:1:1,1:1:1,
94340460469936,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_base_5-0,6997.6,52.8672,1:1:1,1:1:1,
94340460469936,runOnfpga,0,0,xilinx_u50_gen3x16_xdma_base_5-0,6883.01,0.190161,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,6883.03,57.6217,699452,12138.7,
699451648,0,0,6940.67,56.9229,699452,12287.7,
8053063680,0,0,6882.89,0.107115,65.536,611.828,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
6442450944,0,0,6993.57,17.1512,174863,10195.4,
6617313856,0,0,7050.52,14.2997,174863,12228.5,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,2,11119.7,70.5842,174863,31.4509,15.7255,
context0:1,WRITE,3,12201.9,77.4535,466323,114.652,38.2172,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1,runOnfpga,1:1:1,1:1:1,3,Yes,1,1.000000x,105.613,0.05589,35.2043,52.7834,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport0,output_flags|input_words,HBM[0:14],WRITE,341531,5435.8,28.2379,1.023,56.5141,
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport0,output_flags|input_words,HBM[0:14],READ,1366118,13252.9,68.8464,1.023,364.872,
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1/m_axi_maxiport1,bloom_filter,HBM[30],READ,64,4737.54,24.6106,1.024,137.375,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u50_gen3x16_xdma_base_5-0,runOnfpga_1,1707649,1024,25,1748.63,349.726,1398.9,10292.6,


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
runOnfpga_1,3,105.613,0,0,0

Guidance Parameters
Parameter,Element,Value,
XRT_INI_SETTING,opencl_summary,0,Generation of OpenCL summary report (deprecated)
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,opencl_device_counter,0,Hardware counters added to OpenCL summary file (deprecated)
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,data_transfer_trace,off,Collection of data from PL monitors and added to summary and trace (deprecated)
XRT_INI_SETTING,device_trace,coarse,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,all,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,4095M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_trace_buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,aie_trace_metrics,functions,Configuration level used for AI Engine trace
XRT_INI_SETTING,aie_trace_periodic_offload,1,Periodic offloading of aie trace from memory to host
XRT_INI_SETTING,aie_trace_buffer_offload_interval_ms,10,Interval for reading of device aie trace data to host (in ms)
XRT_INI_SETTING,aie_trace_file_dump_interval_s,5,Interval for dumping aie trace files to host (in s)
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_profile_interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,aie_profile_core_metrics,,Metric set for AI Engine core modules
XRT_INI_SETTING,aie_profile_memory_metrics,,Metric set for AI Engine memory modules
XRT_INI_SETTING,aie_profile_interface_metrics,,Metric set for AI Engine interface modules
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
